Rank,Name,Position,ADP,Total Points
258,Bo Naylor,C,282.7,115
259,Jake Cronenworth,"1B,2B,DH",285.7,328
260,Lars Nootbaar,"LF,CF,RF",286,209
261,Yuki Matsui,RP,287,154
262,Ryan McMahon,"2B,3B",288,246
263,Henry Davis,"C,RF",288,4
264,Yusei Kikuchi,SP,288,362
265,Brice Turang,"2B,SS",207,319
266,Kenta Maeda,"RP,SP",289.7,120
267,Luis Severino,SP,290,331
268,Hunter Harvey,RP,290.7,147
269,Jose Abreu,1B,291.3,15
270,Kevin Ginkel,RP,291.3,224
271,Jacob deGrom,SP,292,30
272,J.P. Crawford,SS,292.3,173
273,Abner Uribe,RP,292.7,23
274,Seth Lugo,SP,297,452
275,Michael Wacha,SP,298.7,332
276,DL Hall,"RP,SP",299,56
277,Gavin Stone,SP,300,269
278,Jack Suwinski,"LF,CF,RF",301,92
279,Taj Bradley,SP,303,267
280,Jason Foley,RP,228,263
281,Ronel Blanco,"SP,RP",229,396
282,Andrew Abbott,SP,304,235
283,Lucas Giolito,SP,229.5,0
284,Matt Chapman,3B,304.3,363
285,Junior Caminero,"3B,SS",305,78
286,Vaughn Grissom,"2B,SS",305,24
287,Griffin Jax,RP,307,312
288,Kris Bryant,"1B,RF,DH",310.3,29
289,Luis Campusano,C,311.3,156
290,Willi Castro,"2B,3B,CF,LF,SS",311.3,279
291,Robert Stephenson,RP,243,0
292,Ryan Jeffers,"C,DH",314.7,237
293,Colt Keith,"2B,3B,DH",315,244
294,Brandon Marsh,"CF,LF,RF",316,205
295,Andrew Vaughn,"1B,DH",317.3,262
296,Bryan Abreu,RP,317.3,274
297,Jordan Hicks,"RP,SP",317.7,169
298,Tyler Stephenson,"C,DH",318,270
299,Taijuan Walker,SP,318.3,25
300,Jordan Westburg,"2B,3B",319,250
301,Will Benson,"CF,DH,LF,RF",319.7,
302,Michael Conforto,"DH,LF,RF",321,
303,Oswaldo Cabrera,"1B,2B,3B,LF,RF,SS",255.5,
304,Yennier Cano,RP,322.3,
305,Brent Rooker,"LF,RF,DH",323,
306,Eugenio Suarez,3B,325.7,
307,Louie Varland,"SP,RP",326.3,
308,James Paxton,SP,326.7,
309,Austin Wells,C,327,
310,Frankie Montas,"SP,RP",328.3,
311,Reynaldo Lopez,"RP,SP",328.7,
312,Lance Lynn,SP,329,
313,Alejandro Kirk,"C,DH",329,
314,Bryan De La Cruz,"LF,RF,DH",329.3,
315,Jeff McNeil,"2B,LF,RF",330.3,
316,Aroldis Chapman,RP,330.3,
317,Luis Rengifo,"2B,3B,OF,RF,SS",330.3,
318,Brandon Lowe,"1B,2B,DH",330.7,
319,Ceddanne Rafaela,"2B,CF,SS",333,
320,Michael Kopech,"RP,SP",333.7,
321,Miles Mikolas,SP,337.3,
322,Cody Bradford,"SP,RP",282,
323,Max Kepler,RF,339.3,
324,Parker Meadows,CF,340.3,
325,John Means,SP,340.7,
326,Colton Cowser,"LF,CF,RF",284.5,
327,Elias Diaz,"C,DH",342.7,
